License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,100,N,180,1088,6,13,13,0,0,3,10,0,3,10
2004,100,R,1894,14231,8,111,55,49,7,14,97,0,35,17
2004,100,SUM,2075,15318,7,124,68,49,7,17,107,0,38,27
2004,101,N,87,493,6,3,3,0,0,0,3,0,0,3
2004,101,R,1372,10272,8,83,46,34,3,10,73,0,32,14
2004,101,SUM,1459,10765,7,86,49,34,3,10,76,0,32,17
2004,102,N,15,82,6,0,0,0,0,0,0,0,0,0
2004,102,R,1422,8338,6,35,16,14,6,3,33,0,14,2
2004,102,SUM,1437,8420,6,35,16,14,6,3,33,0,14,2
2004,103,N,193,1133,6,2,0,2,0,0,2,0,0,0
2004,103,R,2366,15464,7,137,68,59,10,21,116,0,43,24
2004,103,SUM,2559,16597,7,139,68,61,10,21,118,0,43,24
2004,104,N,190,1161,6,7,7,0,0,3,3,0,3,3
2004,104,R,1394,9816,7,118,87,27,3,12,106,1,56,30
2004,104,SUM,1584,10977,7,124,94,27,3,15,109,1,59,34
2004,109,N,10,36,4,0,0,0,0,0,0,0,0,0
2004,109,R,270,1871,7,29,7,21,1,0,29,0,4,3
2004,109,SUM,280,1907,7,29,7,21,1,0,29,0,4,3
2004,110,N,49,285,6,0,0,0,0,0,0,0,0,0
2004,110,R,1011,5905,6,85,71,14,0,6,79,0,54,17
2004,110,SUM,1060,6190,6,85,71,14,0,6,79,0,54,17
2004,120,N,16,56,3,0,0,0,0,0,0,0,0,0
2004,120,R,974,5601,6,40,33,7,0,10,30,0,23,10
2004,120,SUM,990,5657,6,40,33,7,0,10,30,0,23,10
2004,121,N,495,3261,7,71,68,3,0,29,42,0,37,31
2004,121,R,2098,17644,8,277,123,148,7,46,231,5,72,46
2004,121,SUM,2593,20905,8,348,191,151,7,75,273,5,109,77
2004,122,N,222,1082,5,8,3,5,0,0,8,0,0,3
2004,122,R,1539,9790,6,60,31,26,3,11,48,0,24,7
2004,122,SUM,1761,10872,6,67,34,30,3,11,56,0,24,11
2004,123,N,179,886,5,11,10,0,1,7,4,0,7,3
2004,123,R,541,3694,7,70,41,24,4,8,62,0,34,7
2004,123,SUM,720,4579,6,81,50,24,5,15,66,0,40,10
2004,124,N,52,188,4,7,7,0,0,0,7,0,6,0
2004,124,R,315,2141,7,24,17,4,3,0,24,0,14,3
2004,124,SUM,367,2329,6,30,23,4,3,0,30,0,20,3
2004,130,N,95,675,7,13,13,0,0,0,13,0,3,10
2004,130,R,1178,7006,6,77,57,17,3,0,77,0,41,17
2004,130,SUM,1273,7681,6,90,70,17,3,0,90,0,44,26
2004,132,N,6,20,3,0,0,0,0,0,0,0,0,0
2004,132,R,552,3214,6,53,19,31,3,6,47,3,10,6
2004,132,SUM,559,3233,6,53,19,31,3,6,47,3,10,6
2004,140,N,122,750,6,13,13,0,0,0,13,0,13,0
2004,140,R,788,4886,6,80,61,16,3,8,71,0,39,22
2004,140,SUM,910,5636,6,93,74,16,3,8,84,0,52,22
2004,141,N,71,389,6,13,13,0,0,0,13,0,10,3
2004,141,R,287,1765,6,30,25,6,0,6,25,0,10,15
2004,141,SUM,358,2154,6,43,37,6,0,6,37,0,20,18
2004,150,N,248,1689,7,61,61,0,0,0,61,0,26,36
2004,150,R,175,1248,7,41,38,3,0,3,38,0,14,24
2004,150,SUM,423,2937,7,102,99,3,0,3,99,0,40,59
2004,151,N,99,595,6,36,36,0,0,0,36,0,26,10
2004,151,R,45,253,6,8,8,0,0,0,8,0,0,8
2004,151,SUM,143,848,6,44,44,0,0,0,44,0,26,18
2004,170,N,3,30,9,0,0,0,0,0,0,0,0,0
2004,170,R,158,860,5,31,7,21,3,0,31,0,5,3
2004,170,SUM,161,890,6,31,7,21,3,0,31,0,5,3
2004,1XX,N,178,1296,7,36,36,0,0,13,23,0,26,10
